Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-11-28,RB Leipzig,Leverkusen,1,3,A,0,2,A,,14,11,3,4,10,9,7,2,1,3,0,0
2021-12-03,Union Berlin,RB Leipzig,2,1,H,1,1,D,,14,11,5,2,12,8,5,7,1,1,0,0
2021-12-04,Augsburg,Bochum,2,3,A,0,3,A,,16,12,7,6,9,6,13,6,0,2,0,0
2021-12-04,Bielefeld,FC Koln,1,1,D,0,1,A,,18,9,5,3,14,10,7,1,1,1,0,0
2021-12-04,Hoffenheim,Ein Frankfurt,3,2,H,2,1,H,,8,17,4,2,9,12,4,6,2,2,0,0
2021-12-04,Leverkusen,Greuther Furth,7,1,H,3,1,H,,13,8,8,3,13,8,4,3,0,1,0,0
2021-12-04,Mainz,Wolfsburg,3,0,H,2,0,H,,12,16,5,0,18,10,6,5,1,1,0,0
2021-12-04,Dortmund,Bayern Munich,2,3,A,1,2,A,,11,16,4,6,10,10,4,6,2,2,0,0
2021-12-05,Stuttgart,Hertha,2,2,D,2,1,H,,10,15,3,8,9,16,7,5,0,1,0,0
2021-12-05,M'gladbach,Freiburg,0,6,A,0,6,A,,19,15,3,8,12,15,3,3,2,1,0,0
2021-12-10,FC Koln,Augsburg,0,2,A,0,0,D,,14,12,4,4,12,15,9,4,2,4,0,0
2021-12-11,Bayern Munich,Mainz,2,1,H,0,1,A,,21,9,7,4,9,10,7,2,3,3,0,0
2021-12-11,Bochum,Dortmund,1,1,D,1,0,H,,4,23,3,8,8,18,0,15,0,3,0,0
2021-12-11,Freiburg,Hoffenheim,1,2,A,1,1,D,,14,14,6,8,13,9,6,7,4,3,0,0
2021-12-11,Hertha,Bielefeld,2,0,H,0,0,D,,18,9,9,1,10,15,6,4,1,1,0,0
2021-12-11,RB Leipzig,M'gladbach,4,1,H,2,0,H,,19,12,10,4,20,15,6,0,3,2,0,0
2021-12-11,Wolfsburg,Stuttgart,0,2,A,0,1,A,,19,12,3,3,17,9,5,3,2,2,0,0
2021-12-12,Greuther Furth,Union Berlin,1,0,H,0,0,D,,5,14,3,4,12,6,3,7,3,0,0,0
2021-12-12,Ein Frankfurt,Leverkusen,5,2,H,2,2,D,,15,11,7,4,11,11,7,4,0,3,0,0
2021-12-14,Stuttgart,Bayern Munich,0,5,A,0,1,A,,13,25,1,12,7,7,1,3,1,1,0,0
2021-12-14,Bielefeld,Bochum,2,0,H,0,0,D,,13,5,4,3,13,9,6,2,2,2,0,0
2021-12-14,Mainz,Hertha,4,0,H,2,0,H,,21,7,11,1,10,14,4,1,0,2,0,0
2021-12-14,Wolfsburg,FC Koln,2,3,A,1,1,D,,19,19,5,6,18,9,9,5,3,2,0,0
